reflective,transitive
99.9395,99
99.9389,99
99.9389,99
99.9397,99
99.9407,99
99.9411,99
99.941,99
99.9406,99
99.9406,99
99.9407,99
99.9408,99
99.9406,99
99.9398,99
99.9385,99
99.9381,99
99.938,99
99.9381,99
99.9382,99
99.9382,99
99.9383,99
99.9382,99
99.9381,99
99.938,99
99.9376,99
99.937,99
99.937,99
99.9375,99
99.9383,99
99.9387,99
99.9389,99
99.9389,99
99.9393,99
99.9396,99
99.9398,99
99.9397,99
99.9382,99
99.9376,99
99.9374,99
99.9376,99
99.9377,99
99.9379,99
99.9378,99
99.938,99
99.9379,99
99.9374,99
99.9369,99
99.9366,99
99.9364,99
99.9371,99
99.9376,99
99.9378,99
99.9379,99
99.9379,99
99.9381,99
99.9386,99
99.939,99
99.9395,99
99.9395,99
99.9388,99
99.9377,99
99.9375,99
99.9376,99
99.9378,99
99.938,99
99.938,99
99.938,99
99.9377,99
99.9375,99
99.9366,99
99.9365,99
99.9366,99
99.9375,99
99.9379,99
99.9378,99
99.9376,99
99.9374,99
99.9375,99
99.9375,99
99.9373,99
99.9368,99
99.9356,99
99.935,99
99.9352,99
99.9357,99
99.936,99
99.9361,99
99.9361,99
99.9361,99
99.936,99
99.9359,99
99.9355,99
99.9355,99
99.936,99
99.9367,99
99.9369,99
99.9367,99
99.9365,99
99.9365,99
99.9367,99
99.9369,99
99.9372,99
99.9376,99
99.9377,99
99.9376,99
99.9366,99
99.9361,99
99.9362,99
99.9365,99
99.9366,99
99.9366,99
99.9364,99
99.9366,99
99.9372,99
99.9382,99
99.9385,99
99.9387,99
99.9386,99
99.9385,99
99.9384,99
99.938,99
99.938,99
99.9379,99
99.9379,99
99.9383,99
99.9388,99
99.9392,99
99.9394,99
99.9387,99
99.9379,99
99.9376,99
99.9377,99
99.9375,99
99.9372,99
99.937,99
99.9371,99
99.9385,99
99.9392,99
99.9396,99
99.9394,99
99.9393,99
99.939,99
99.9386,99
99.9384,99
99.9383,99
99.9381,99
99.9383,99
99.9386,99
99.9387,99
99.9374,99
99.9363,99
99.9358,99
99.9355,99
99.9354,99
99.9353,99
99.9349,99
99.9343,99
99.9335,99
99.9334,99
99.9341,99
99.9353,99
99.9357,99
99.9358,99
99.9357,99
99.9357,99
99.9358,99
99.9359,99
99.9358,99
99.9359,99
99.9363,99
99.9369,99
99.9369,99
99.9363,99
99.9347,99
99.9343,99
